Feltnavn;Variabelnavn;Felttype;Obligatorisk;DataDumpnavn;Gyldighet
21. Forstoppelse;UHI.Q21;Enum;Ja;UhiQ21;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
22. Eksem;UHI.Q22;Enum;Ja;UhiQ22;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
23. Allergi;UHI.Q23;Enum;Ja;UhiQ23;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
24. Hetetokter;UHI.Q24;Enum;Ja;UhiQ24;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
25. Søvnproblemer;UHI.Q25;Enum;Ja;UhiQ25;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
26. Tretthet;UHI.Q26;Enum;Ja;UhiQ26;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
27. Svimmelhet;UHI.Q27;Enum;Ja;UhiQ27;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
28. Angst;UHI.Q28;Enum;Ja;UhiQ28;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
29. Nedtrykt, depresjon;UHI.Q29;Enum;Ja;UhiQ29;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
30. Premenstruelle spenninger;UHI.Q30;Enum;Ja;UhiQ30;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
31. Menstruasjonssmerter;UHI.Q31;Enum;Ja;UhiQ31;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
32. Kvalme;UHI.Q32;Enum;Ja;UhiQ32;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
33. Bekkensmerter;UHI.Q33;Enum;Ja;UhiQ33;v1.0
;-1 = Ikke svart;;;;
;0 = Ikke plaget;;;;
;1 = Litt plaget;;;;
;2 = En del plaget;;;;
;3 = Alvorlig plaget;;;;
Score;UHI.Score;Numerisk (heltall);Nei;UHI.Score;v1.0
Index;UHI.Index;Numerisk (heltall);Nei;UHI.Index;v1.0
På en skala fra 0 (verst tenkelig tilstand) til 100 (best tenkelige tilstand), angi din nåværende helsetilstand. ;EQ5D.HealthLevel;Numerisk (heltall);Nei;Eq5dHealthLevel;v1.0
Gange;EQ5D.Walk;Enum;Ja;Eq5dWalk;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen problemer med å gå omkring;;;;
;2 = Jeg har litt problemer med å gå omkring;;;;
;3 = Jeg er sengeliggende;;;;
Personlig stell;EQ5D.PersonalCare;Enum;Ja;Eq5dPersonalCare;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen problemer med personlig stell;;;;
;2 = Jeg har litt problemer med personlig stell;;;;
;3 = Jeg er ute av stand til å vaske meg eller kle meg;;;;
Vanlige gjøremål;EQ5D.OrdinaryActivities;Enum;Ja;Eq5dOrdinaryActivities;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har ingen problemer med å utføre mine vanlige gjøremål;;;;
;2 = Jeg har litt problemer med å utføre mine vanlige gjøremål;;;;
;3 = Jeg er ute av stand til å gjøre mine vanlige gjøremål;;;;
Smerte og ubehag;EQ5D.Pain;Enum;Ja;Eq5dPain;v1.0
;0 = Ikke svart;;;;
;1 = Jeg har verken smerter eller ubehag;;;;
;2 = Jeg har moderate smerter eller ubehag;;;;
;3 = Jeg har sterke smerter eller ubehag;;;;
Angst og depresjon;EQ5D.Anxiety;Enum;Ja;Eq5dAnxiety;v1.0
;0 = Ikke svart;;;;
;1 = Jeg er verken engstelig eller deprimert;;;;
;2 = Jeg er noe engstelig eller deprimert;;;;
;3 = Jeg er svært engstelig eller deprimert;;;;
Hvor fornøyd er du med behandlingen du har fått for de aktuelle plagene inntil i dag?;EQ5D.SatisfactionTreatment;Enum;Ja;Eq5dSatisfactionTreatment;v1.0
;0 = Ikke svart;;;;
;1 = Fornøyd;;;;
;2 = Litt fornøyd;;;;
;3 = Hverken fornøyd eller misfornøyd;;;;
;4 = Litt misfornøyd;;;;
;5 = Misfornøyd;;;;
Score;EQ5D.Score;Numerisk (flyttall);Nei;Eq5dScore;v1.0
Smertetegning;PainDrawing.PainDrawing;Text;Nei;PainDrawing;v1.0
Hode;PainDrawing.IsPainHead;Avkrysning;Ja;IsPainHead;v1.0
Hode;PainDrawing.IsPainBackHead;Avkrysning;Ja;IsPainBackHead;v1.0
Nakke;PainDrawing.IsPainNeckBack;Avkrysning;Ja;IsPainNeckBack;v1.0
Nakke;PainDrawing.IsPainNeckFront;Avkrysning;Ja;IsPainNeckFront;v1.0
Høyre skulder;PainDrawing.IsPainShoulderFrontRight;Avkrysning;Ja;IsPainShoulderFrontRight;v1.0
Høyre skulder;PainDrawing.IsPainShoulderBackRight;Avkrysning;Ja;IsPainShoulderBackRight;v1.0
Venstre skulder;PainDrawing.IsPainShoulderFrontLeft;Avkrysning;Ja;IsPainShoulderFrontLeft;v1.0
Venstre skulder;PainDrawing.IsPainShoulderBackLeft;Avkrysning;Ja;IsPainShoulderBackLeft;v1.0
Høyre albue;PainDrawing.IsPainArmFrontRight;Avkrysning;Ja;IsPainArmFrontRight;v1.0
Høyre albue;PainDrawing.IsPainArmBackRight;Avkrysning;Ja;IsPainArmBackRight;v1.0
Venstre albue;PainDrawing.IsPainArmFrontLeft;Avkrysning;Ja;IsPainArmFrontLeft;v1.0
Venstre albue;PainDrawing.IsPainArmBackLeft;Avkrysning;Ja;IsPainArmBackLeft;v1.0
Høyre håndledd;PainDrawing.IsPainHandFrontRight;Avkrysning;Ja;IsPainHandFrontRight;v1.0
Venstre håndledd;PainDrawing.IsPainHandFrontLeft;Avkrysning;Ja;IsPainHandFrontLeft;v1.0
Høyre håndledd;PainDrawing.IsPainHandBackRight;Avkrysning;Ja;IsPainHandBackRight;v1.0
Venstre håndledd;PainDrawing.IsPainHandBackLeft;Avkrysning;Ja;IsPainHandBackLeft;v1.0
Øvre del av rygg;PainDrawing.IsPainUpperBack;Avkrysning;Ja;IsPainUpperBack;v1.0
Øvre del mage;PainDrawing.IsPainUpperStomach;Avkrysning;Ja;IsPainUpperStomach;v1.0
Mage;PainDrawing.IsPainStomach;Avkrysning;Ja;IsPainStomach;v1.0
Korsrygg;PainDrawing.IsPainLowBack;Avkrysning;Ja;IsPainLowBack;v1.0
Høyre hofte/lår;PainDrawing.IsPainHipsThighsFrontRight;Avkrysning;Ja;IsPainHipsThighsFrontRight;v1.0
Venstre hofte/lår;PainDrawing.IsPainHipsThighsFrontLeft;Avkrysning;Ja;IsPainHipsThighsFrontLeft;v1.0
Høyre hofte/lår;PainDrawing.IsPainHipsThighsBackRight;Avkrysning;Ja;IsPainHipsThighsBackRight;v1.0
Venstre hofte/lår;PainDrawing.IsPainHipsThighsBackLeft;Avkrysning;Ja;IsPainHipsThighsBackLeft;v1.0
Høyre kne;PainDrawing.IsPainKneeFrontRight;Avkrysning;Ja;IsPainKneeFrontRight;v1.0
Venstre kne;PainDrawing.IsPainKneeFrontLeft;Avkrysning;Ja;IsPainKneeFrontLeft;v1.0
Høyre kne;PainDrawing.IsPainKneeBackRight;Avkrysning;Ja;IsPainKneeBackRight;v1.0
Venstre kne;PainDrawing.IsPainKneeBackLeft;Avkrysning;Ja;IsPainKneeBackLeft;v1.0
Høyre ankel/fot;PainDrawing.IsPainFeetFrontRight;Avkrysning;Ja;IsPainFeetFrontRight;v1.0
Høyre ankel/fot;PainDrawing.IsPainFeetBackRight;Avkrysning;Ja;IsPainFeetBackRight;v1.0
Venstre ankel/fot;PainDrawing.IsPainFeetFrontLeft;Avkrysning;Ja;IsPainFeetFrontLeft;v1.0
Venstre ankel/fot;PainDrawing.IsPainFeetBackLeft;Avkrysning;Ja;IsPainFeetBackLeft;v1.0
NofPainRegions;PainDrawing.NofPainRegions;Numerisk (heltall);Nei;NofPainRegions;v1.0
Importert;Importert;Enum;Ja;Importert;v1.1
;0 = False;;;;
;1 = True;;;;
MainFormId;MainFormId;Id (Guid);Ja;HovedskjemaGUID;v1.0
